Issue_Key,Issue_Type,Summary,Status,Priority,Sprint_Name,Sprint_Start,Sprint_End,Story_Points,Assignee,Reporter,Created_Date,Updated_Date,Resolved_Date,Epic_Key,Labels,Component
PROJ-1,Epic,User Authentication & SSO Integration,In Progress,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Morgan Chen,Sam Delgado (PO),2025-09-17,2025-09-30,,,api,Frontend UI
PROJ-2,Epic,Dashboard Analytics Engine,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Avery Okafor,Jamie Reeves,2025-10-01,2025-10-04,,,api,Authentication
PROJ-3,Epic,Data Pipeline Migration,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Alex Thompson,Chris Albright (Tech Lead),2025-10-04,2025-10-24,,,accessibility,Infrastructure
PROJ-4,Epic,Reporting Module Overhaul,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Jordan Rivera,Jordan Rivera,2025-10-03,2025-11-20,,,performance,Infrastructure
PROJ-5,Epic,FedRAMP Compliance Hardening,Done,Highest,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Quinn Fitzgerald,Avery Okafor,2025-10-10,2025-10-25,,,accessibility,Frontend UI
PROJ-6,Epic,Performance Optimization,In Progress,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Riley Patel,Jamie Reeves,2025-10-14,2025-11-07,,,performance,Backend API
PROJ-7,Epic,API Gateway Implementation,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Casey Williams,Jordan Rivera,2025-09-29,2025-11-16,,,compliance,DevOps
PROJ-8,Epic,Automated Testing Framework,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Taylor Kim,Sam Delgado (PO),2025-10-03,2025-10-12,,,data-pipeline,Database
PROJ-9,Task,Create custom report builder,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,8,Riley Patel,Chris Albright (Tech Lead),2025-10-02,2025-10-09,2025-10-13,PROJ-4,"tech-debt,security",Infrastructure
PROJ-10,Story,Add export to PDF functionality,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,5,Drew Nakamura,Pat Morrison (PM),2025-09-27,2025-10-17,2025-10-13,PROJ-2,compliance,Database
PROJ-11,Story,Create compliance audit report,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Jordan Rivera,Chris Albright (Tech Lead),2025-09-26,2025-10-12,2025-10-12,PROJ-5,performance,Database
PROJ-12,Task,Implement rate limiting,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Jordan Rivera,Pat Morrison (PM),2025-09-28,2025-10-15,2025-09-29,PROJ-7,"compliance,fedramp",Frontend UI
PROJ-13,Story,Create data lineage tracker,To Do,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,5,Avery Okafor,Jordan Rivera,2025-10-02,2025-10-07,,PROJ-3,"compliance,api",Authentication
PROJ-14,Story,Migrate ETL jobs to new pipeline,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Alex Thompson,Casey Williams,2025-09-29,2025-10-08,2025-10-07,PROJ-3,"performance,data-pipeline",DevOps
PROJ-15,Bug,Fix CSS overflow on mobile dashboard view,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Avery Okafor,Chris Albright (Tech Lead),2025-10-02,2025-10-15,2025-10-06,PROJ-3,"tech-debt,compliance",Documentation
PROJ-16,Sub-task,Add input validation to implement server-side rendering,In Review,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Jamie Reeves,Avery Okafor,2025-09-29,2025-09-29,,PROJ-6,tech-debt,Backend API
PROJ-17,Story,Build user profile settings page,In Progress,Highest,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Taylor Kim,Pat Morrison (PM),2025-10-02,2025-10-09,,PROJ-1,api,Database
PROJ-18,Bug,Correct date parsing for EU format inputs,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Riley Patel,Drew Nakamura,2025-09-25,2025-10-16,2025-10-09,PROJ-8,security,Frontend UI
PROJ-19,Story,Implement API response caching,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Quinn Fitzgerald,Casey Williams,2025-09-30,2025-10-05,2025-10-09,PROJ-6,"performance,migration",Frontend UI
PROJ-20,Story,Add MFA enrollment page,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Drew Nakamura,Alex Thompson,2025-10-01,2025-10-16,2025-10-08,PROJ-1,security,Documentation
PROJ-21,Story,Create performance test suite,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,13,Casey Williams,Taylor Kim,2025-10-02,2025-10-17,2025-10-05,PROJ-8,security,Backend API
PROJ-22,Bug,Resolve race condition in data sync,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,8,Jordan Rivera,Morgan Chen,2025-09-26,2025-09-27,2025-10-13,PROJ-1,performance,Authentication
PROJ-23,Story,Redesign report template engine,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Taylor Kim,Casey Williams,2025-10-02,2025-10-12,2025-10-17,PROJ-4,fedramp,Authentication
PROJ-24,Story,Create data quality scoring,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,8,Jamie Reeves,Jordan Rivera,2025-09-24,2025-10-08,2025-10-14,PROJ-3,tech-debt,Reporting
PROJ-25,Story,Implement API response caching,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Avery Okafor,Alex Thompson,2025-10-02,2025-10-11,2025-10-12,PROJ-6,api,Reporting
PROJ-26,Sub-task,Review and refactor implement drill-down navigation,In Review,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Taylor Kim,Taylor Kim,2025-10-02,2025-10-06,,PROJ-2,fedramp,Authentication
PROJ-27,Task,Implement certificate management,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,1,Alex Thompson,Alex Thompson,2025-10-04,2025-10-17,2025-10-09,PROJ-5,ux,Reporting
PROJ-28,Story,Implement accessibility testing,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,8,Riley Patel,Jamie Reeves,2025-09-26,2025-10-13,2025-09-28,PROJ-8,accessibility,Database
PROJ-29,Story,Add role-based access control,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Morgan Chen,Casey Williams,2025-10-02,2025-10-15,2025-10-12,PROJ-1,"ux,accessibility",Backend API
PROJ-30,Story,Optimize image compression pipeline,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,5,Drew Nakamura,Alex Thompson,2025-09-28,2025-10-03,2025-10-02,PROJ-6,"tech-debt,data-pipeline",DevOps
PROJ-31,Story,Implement report caching layer,To Do,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Taylor Kim,Riley Patel,2025-09-25,2025-10-19,,PROJ-4,accessibility,Infrastructure
PROJ-32,Sub-task,Document API for build kpi card component,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Drew Nakamura,Riley Patel,2025-09-24,2025-09-27,2025-10-14,PROJ-2,"fedramp,accessibility",Frontend UI
PROJ-33,Story,Build report permissions model,To Do,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Riley Patel,Drew Nakamura,2025-10-02,2025-10-08,,PROJ-4,fedramp,Infrastructure
PROJ-34,Task,Build KPI card component,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Casey Williams,Drew Nakamura,2025-09-28,2025-10-15,2025-10-03,PROJ-2,accessibility,Database
PROJ-35,Task,Create compliance audit report,Done,Highest,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Quinn Fitzgerald,Quinn Fitzgerald,2025-09-30,2025-10-18,2025-10-11,PROJ-5,tech-debt,DevOps
PROJ-36,Bug,Fix timezone display issue in reports,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,5,Taylor Kim,Casey Williams,2025-09-25,2025-10-19,2025-10-03,PROJ-3,"ux,security",Backend API
PROJ-37,Story,Create unit test coverage baseline,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Casey Williams,Morgan Chen,2025-09-30,2025-10-15,2025-10-13,PROJ-8,security,Frontend UI
PROJ-38,Bug,Resolve memory leak in WebSocket handler,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Jordan Rivera,Quinn Fitzgerald,2025-10-02,2025-10-09,2025-10-17,PROJ-4,migration,Infrastructure
PROJ-39,Sub-task,Add input validation to implement accessibility testing,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Casey Williams,Pat Morrison (PM),2025-10-01,2025-10-15,2025-10-10,PROJ-8,api,DevOps
PROJ-40,Task,Implement certificate management,In Progress,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Jordan Rivera,Morgan Chen,2025-09-29,2025-10-16,,PROJ-5,accessibility,Database
PROJ-41,Bug,Resolve duplicate entries in audit log,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Jamie Reeves,Sam Delgado (PO),2025-09-27,2025-10-10,2025-10-10,PROJ-2,data-pipeline,Documentation
PROJ-42,Task,Implement connection pooling,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,13,Quinn Fitzgerald,Casey Williams,2025-09-30,2025-10-17,2025-10-08,PROJ-6,migration,Backend API
PROJ-43,Story,Add API versioning strategy,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,13,Drew Nakamura,Jamie Reeves,2025-10-02,2025-10-02,2025-10-17,PROJ-7,security,Frontend UI
PROJ-44,Task,Create data lineage tracker,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Drew Nakamura,Taylor Kim,2025-10-01,2025-10-11,2025-10-12,PROJ-3,"accessibility,compliance",Frontend UI
PROJ-45,Task,Add role-based access control,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,13,Casey Williams,Casey Williams,2025-09-24,2025-10-18,2025-09-25,PROJ-1,"data-pipeline,ux",Authentication
PROJ-46,Story,Add export to PDF functionality,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Morgan Chen,Taylor Kim,2025-10-03,2025-10-06,2025-10-16,PROJ-2,security,Reporting
PROJ-47,Task,Add circuit breaker pattern,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Taylor Kim,Pat Morrison (PM),2025-10-04,2025-10-11,2025-10-06,PROJ-7,performance,Backend API
PROJ-48,Story,Implement request/response logging,In Progress,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,1,Jordan Rivera,Drew Nakamura,2025-09-30,2025-10-15,,PROJ-7,"migration,ux",Documentation
PROJ-49,Story,Implement certificate management,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Taylor Kim,Quinn Fitzgerald,2025-09-29,2025-10-06,2025-10-02,PROJ-5,migration,Documentation
PROJ-50,Story,Build API contract testing,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,5,Avery Okafor,Alex Thompson,2025-09-29,2025-10-07,2025-10-08,PROJ-8,tech-debt,Frontend UI
PROJ-51,Story,Create API health check endpoints,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3,Jordan Rivera,Taylor Kim,2025-10-01,2025-10-15,2025-10-02,PROJ-7,tech-debt,Reporting
PROJ-52,Task,Implement server-side rendering,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,13,Quinn Fitzgerald,Taylor Kim,2025-10-02,2025-10-12,2025-10-08,PROJ-6,tech-debt,Frontend UI
PROJ-53,Bug,Correct calculation error in KPI rollup,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,5,Taylor Kim,Sam Delgado (PO),2025-09-27,2025-10-03,2025-10-13,PROJ-6,api,Reporting
PROJ-54,Sub-task,Add logging to build report permissions model,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Alex Thompson,Alex Thompson,2025-10-02,2025-10-06,2025-10-07,PROJ-4,ux,DevOps
PROJ-55,Story,Integrate with Active Directory,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2,Jordan Rivera,Jordan Rivera,2025-09-24,2025-10-02,2025-10-10,PROJ-1,performance,Backend API
PROJ-56,Story,Add encryption at rest for PII,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,5,Avery Okafor,Drew Nakamura,2025-10-03,2025-10-10,2025-10-16,PROJ-5,migration,Reporting
PROJ-57,Bug,Resolve CORS policy blocking API calls,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,13,Casey Williams,Taylor Kim,2025-09-25,2025-10-19,2025-10-02,PROJ-7,ux,Authentication
PROJ-58,Story,Implement drill-down navigation,To Do,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Casey Williams,Taylor Kim,2025-10-12,2025-10-13,,PROJ-2,"migration,performance",Authentication
PROJ-59,Sub-task,Add error handling to create report parameter ui,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Alex Thompson,Morgan Chen,2025-10-12,2025-10-16,2025-10-15,PROJ-4,"data-pipeline,compliance",DevOps
PROJ-60,Story,Create compliance audit report,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Drew Nakamura,Sam Delgado (PO),2025-10-09,2025-10-28,2025-10-11,PROJ-5,compliance,Backend API
PROJ-61,Story,Integrate with Active Directory,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2,Taylor Kim,Morgan Chen,2025-10-16,2025-10-30,2025-10-31,PROJ-1,"accessibility,migration",Frontend UI
PROJ-62,Task,Implement request/response logging,Done,High,Sprint 2 - Core Features,2025-10-15,2025-10-28,2,Drew Nakamura,Chris Albright (Tech Lead),2025-10-14,2025-10-29,2025-10-24,PROJ-7,migration,Frontend UI
PROJ-63,Story,Implement API response caching,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Quinn Fitzgerald,Drew Nakamura,2025-10-08,2025-10-29,2025-10-26,PROJ-6,api,Infrastructure
PROJ-64,Task,Create test data management system,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Jordan Rivera,Alex Thompson,2025-10-12,2025-10-26,2025-10-28,PROJ-8,"data-pipeline,tech-debt",Database
PROJ-65,Story,Implement password policy enforcement,In Progress,Lowest,Sprint 2 - Core Features,2025-10-15,2025-10-28,8,Morgan Chen,Quinn Fitzgerald,2025-10-15,2025-10-18,,PROJ-1,"compliance,api",Reporting
PROJ-66,Story,Create test data management system,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Morgan Chen,Jordan Rivera,2025-10-17,2025-11-02,2025-10-29,PROJ-8,accessibility,Infrastructure
PROJ-67,Sub-task,Review and refactor implement stig compliance checks,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Morgan Chen,Quinn Fitzgerald,2025-10-17,2025-11-01,2025-10-31,PROJ-5,fedramp,Infrastructure
PROJ-68,Task,Create API health check endpoints,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,13,Casey Williams,Chris Albright (Tech Lead),2025-10-11,2025-10-29,2025-10-24,PROJ-7,fedramp,DevOps
PROJ-69,Bug,Fix export truncating long field values,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,5,Morgan Chen,Avery Okafor,2025-10-10,2025-10-25,2025-10-12,PROJ-7,"fedramp,performance",DevOps
PROJ-70,Story,Set up Cypress E2E test framework,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,5,Taylor Kim,Riley Patel,2025-10-10,2025-10-12,2025-10-26,PROJ-8,accessibility,Frontend UI
PROJ-71,Bug,Fix chart tooltip positioning on scroll,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Jordan Rivera,Casey Williams,2025-10-16,2025-10-17,2025-10-26,PROJ-7,compliance,Authentication
PROJ-72,Bug,Correct calculation error in KPI rollup,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2,Alex Thompson,Alex Thompson,2025-10-10,2025-11-01,2025-10-20,PROJ-7,security,Reporting
PROJ-73,Story,Add API versioning strategy,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,5,Jordan Rivera,Jamie Reeves,2025-10-10,2025-10-15,2025-10-16,PROJ-7,"data-pipeline,tech-debt",DevOps
PROJ-74,Sub-task,Add input validation to implement change data capture,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Quinn Fitzgerald,Taylor Kim,2025-10-18,2025-10-18,2025-10-31,PROJ-3,ux,Frontend UI
PROJ-75,Story,Implement connection pooling,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,2,Quinn Fitzgerald,Jordan Rivera,2025-10-12,2025-10-18,2025-10-25,PROJ-6,data-pipeline,Infrastructure
PROJ-76,Task,Implement STIG compliance checks,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2,Quinn Fitzgerald,Taylor Kim,2025-10-17,2025-10-18,2025-10-27,PROJ-5,"tech-debt,fedramp",Authentication
PROJ-77,Task,Create security event logging,Done,Lowest,Sprint 2 - Core Features,2025-10-15,2025-10-28,5,Jamie Reeves,Riley Patel,2025-10-12,2025-10-26,2025-10-14,PROJ-5,"performance,compliance",Infrastructure
PROJ-78,Bug,Fix broken pagination on large datasets,In Review,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,13,Taylor Kim,Morgan Chen,2025-10-16,2025-11-01,,PROJ-3,migration,Reporting
PROJ-79,Bug,Correct calculation error in KPI rollup,Done,High,Sprint 2 - Core Features,2025-10-15,2025-10-28,5,Avery Okafor,Riley Patel,2025-10-11,2025-11-01,2025-10-24,PROJ-6,accessibility,Backend API
PROJ-80,Story,Add dashboard sharing permissions,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2,Casey Williams,Quinn Fitzgerald,2025-10-14,2025-10-25,2025-10-18,PROJ-2,api,Infrastructure
PROJ-81,Sub-task,Add input validation to add scheduled report delivery,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Alex Thompson,Alex Thompson,2025-10-14,2025-10-17,2025-10-19,PROJ-4,migration,Frontend UI
PROJ-82,Story,Implement retry logic for failed jobs,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,5,Morgan Chen,Drew Nakamura,2025-10-16,2025-10-29,2025-10-26,PROJ-3,migration,Documentation
PROJ-83,Sub-task,Add accessibility attributes to implement stig compliance checks,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Riley Patel,Avery Okafor,2025-10-11,2025-10-22,2025-10-15,PROJ-5,"fedramp,security",Documentation
PROJ-84,Story,Add dashboard sharing permissions,In Progress,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,5,Riley Patel,Casey Williams,2025-10-08,2025-10-09,,PROJ-2,"data-pipeline,tech-debt",Frontend UI
PROJ-85,Bug,Fix search index not updating after data import,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Taylor Kim,Morgan Chen,2025-10-10,2025-10-29,2025-10-11,PROJ-4,"api,compliance",Database
PROJ-86,Story,Create session management service,To Do,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2,Morgan Chen,Taylor Kim,2025-10-13,2025-10-13,,PROJ-1,accessibility,Frontend UI
PROJ-87,Bug,Fix slow query on compliance report page,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,2,Alex Thompson,Sam Delgado (PO),2025-10-16,2025-10-23,2025-10-26,PROJ-8,"api,compliance",DevOps
PROJ-88,Task,Implement SAML 2.0 SSO flow,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Jordan Rivera,Jordan Rivera,2025-10-09,2025-10-24,2025-10-24,PROJ-1,ux,Frontend UI
PROJ-89,Story,Optimize image compression pipeline,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Jordan Rivera,Pat Morrison (PM),2025-10-17,2025-10-30,2025-10-19,PROJ-6,api,Authentication
PROJ-90,Story,Create report parameter UI,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Riley Patel,Pat Morrison (PM),2025-10-09,2025-10-19,2025-10-23,PROJ-4,ux,DevOps
PROJ-91,Story,Create chart rendering engine,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Jamie Reeves,Avery Okafor,2025-10-10,2025-10-27,2025-10-12,PROJ-2,performance,Documentation
PROJ-92,Story,Design API gateway architecture,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Morgan Chen,Pat Morrison (PM),2025-10-17,2025-11-02,2025-10-21,PROJ-7,performance,Infrastructure
PROJ-93,Bug,Correct calculation error in KPI rollup,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,5,Jamie Reeves,Pat Morrison (PM),2025-10-16,2025-11-02,2025-10-17,PROJ-6,"compliance,security",Database
PROJ-94,Story,Add input sanitization middleware,Done,High,Sprint 2 - Core Features,2025-10-15,2025-10-28,2,Morgan Chen,Sam Delgado (PO),2025-10-18,2025-10-30,2025-10-20,PROJ-5,security,Frontend UI
PROJ-95,Bug,Fix export truncating long field values,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Alex Thompson,Morgan Chen,2025-10-13,2025-10-31,2025-10-16,PROJ-4,data-pipeline,Backend API
PROJ-96,Task,Implement certificate management,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Jordan Rivera,Riley Patel,2025-10-12,2025-10-18,2025-10-29,PROJ-5,compliance,DevOps
PROJ-97,Task,Implement STIG compliance checks,Done,Lowest,Sprint 2 - Core Features,2025-10-15,2025-10-28,1,Morgan Chen,Chris Albright (Tech Lead),2025-10-11,2025-10-20,2025-10-18,PROJ-5,fedramp,Frontend UI
PROJ-98,Bug,Fix CSS overflow on mobile dashboard view,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3,Drew Nakamura,Sam Delgado (PO),2025-10-18,2025-10-29,2025-10-20,PROJ-3,security,DevOps
PROJ-99,Sub-task,Create Storybook story for optimize image compression pipeline,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Riley Patel,Morgan Chen,2025-10-09,2025-10-21,2025-10-10,PROJ-6,"data-pipeline,migration",Infrastructure
